POS(°ë¾¶0.5£©,X,Y
FP1,-0.131909603,0.44792497
FPZ,0.000818249,0.45
FP2,0.132724292,0.449328501
AF3,-0.127637803,0.364374359
AF4,0.136367568,0.3631372
F7,-0.36029749,0.308904007
F5,-0.266455787,0.277702302
F3,-0.174984102,0.258558634
F1,-0.088565205,0.251635765
FZ,0.000818249,0.250751948
F2,0.095910506,0.25325343
F4,0.184772741,0.262878945
F6,0.272263111,0.281156914
F8,0.363618305,0.305587506
FT7,-0.428591581,0.181368193
FC5,-0.309638034,0.16471951
FC3,-0.204774495,0.159833547
FC1,-0.098248951,0.151992019
FCZ,0.000818249,0.152500683
FC2,0.101657494,0.155817206
FC4,0.211503054,0.161731196
FC6,0.313762423,0.165659429
FT8,0.430228079,0.181368193
T7,-0.45,0.032535361
C5,-0.324446669,0.043532835
C3,-0.213480544,0.049636371
C1,-0.102460613,0.054105302
CZ,0.003321088,0.054399777
C2,0.10985919,0.053845645
C4,0.218139015,0.052568944
C6,0.326107717,0.047087365
T8,0.45,0.042603391
M1,-0.439397966,-0.146942865
TP7,-0.423177328,-0.101841929
CP5,-0.307232958,-0.07259828
CP3,-0.200192001,-0.055182816
CP1,-0.096420653,-0.042962737
CPZ,0.003268721,-0.04087826
CP2,0.109287978,-0.041711179
CP4,0.209074952,-0.052009623
CP6,0.31012426,-0.067571447
TP8,0.424813825,-0.101841929
M2,0.441034463,-0.146942865
P7,-0.345493967,-0.220534064
P5,-0.256586312,-0.180842675
P3,-0.171856863,-0.155488705
P1,-0.083560615,-0.138115183
PZ,0.000818249,-0.133313795
P2,0.0941661,-0.134538169
P4,0.178872512,-0.149416088
P6,0.261078643,-0.172630367
P8,0.34595381,-0.218469189
PO7,-0.240653391,-0.295261495
PO5,-0.187693979,-0.264273477
PO3,-0.130402647,-0.245000441
POZ,0.000818249,-0.229814475
PO4,0.133569127,-0.245058376
PO6,0.193501565,-0.261361562
PO8,0.243832834,-0.293174395
CB1,-0.159869787,-0.449021344
O1,-0.123360918,-0.337780641
OZ,0.000818249,-0.33557741
O2,0.125738306,-0.336105971
CB2,0.160116727,-0.45
NOSE(±Ç¼â£©,X,Y
right,0.09,0.496
top,0,0.575
left,-0.09,0.496
